date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 12:08:32,contactompq,,0,0,0," #LaMatanza Un ejecutivo de Supermercados DIA dio positivo en COVID-19 #Coronavirus Es de Ramos Mejía, tiene 42 años y regresó al país el 3 de marzo tras un viaje por España. El municipio ya activo el protocolo en todos los Hospitales Nota completa http://mpquatro.com.ar/articulo.php?art=d38ee19a4815c4aeba48227913092a6e",,,#LaMatanza #Coronavirus,1238074395878395904,https://twitter.com/contactompq/status/1238074395878395904
2020-03-12 11:55:04,OncologiaDAN,,0,0,0,"Desde @OncologiaDAN seguimos haciendo hincapié en la concientizacion sobre el #coronavirus #Covid_19 #CODVID19 #salud #pandemia #CoronavirusEnArgentina http://www.oncologiaesperanzadora.com.ar/2020/03/05/el-coronavirus-y-el-paciente-oncologico/",,@OncologiaDAN,#coronavirus #Covid_19 #CODVID19 #salud #pandemia #CoronavirusEnArgentina,1238071005760884736,https://twitter.com/OncologiaDAN/status/1238071005760884736
2020-03-12 11:45:45,SantiUncos,,0,0,0,"Si se suspende el fadi por el covid-19 alguien me va a decir que hago de mi vida los sábados??",,,,1238068661442797568,https://twitter.com/SantiUncos/status/1238068661442797568
2020-03-12 11:42:12,AvellanedaReal,,0,0,1,"La pandemia de #coronavirus ya está en 114 países y territorios 118.326 casos confirmados 4292 muertes China 80.955 confirmados 3162 muertes Fuera de China 37.371 confirmados 1130 muertes #COVID19 ",,,#coronavirus #COVID19,1238067769024929794,https://twitter.com/AvellanedaReal/status/1238067769024929794
2020-03-12 11:30:28,claussteg,,0,0,2,"Lo de @BAecobici que no hay bicis hace bocha, era para protegernos de la circulación social del COVID-19, Y nosotros quejándonos... Que egoístas!",,@BAecobici,,1238064816058761216,https://twitter.com/claussteg/status/1238064816058761216
2020-03-12 11:26:48,javierlew,MDSuarez,0,0,0,"Mucho hablan del Covid19 pero intoxican a los chicos a los que el Covid19 no los afecta ",,,,1238063893102112768,https://twitter.com/javierlew/status/1238063893102112768
2020-03-12 11:26:26,hagigliotti,,0,0,2,"Si no queres contagiarte de #COVID19, nunca viajes en la #Linea161 De nada por el consejo! @L161larrazabal @CiudadDeBondis #FloridaEsteVL #TransitoVL @AlertasTransito #Transito",,@L161larrazabal @CiudadDeBondis @AlertasTransito,#COVID19 #Linea161 #FloridaEsteVL #TransitoVL #Transito,1238063797383954433,https://twitter.com/hagigliotti/status/1238063797383954433
2020-03-12 11:17:44,gonzaeperez,SIAC_cardio,0,0,2,"No todo es #COVID19 #Cardiotwitter sigue en @Twitter",,@Twitter,#COVID19 #Cardiotwitter,1238061608158535681,https://twitter.com/gonzaeperez/status/1238061608158535681
2020-03-12 10:52:28,marinamendez,marinamendez,0,0,1," China da por superado el pico de transmisiones de COVID-19 en el país #coronavirus. Así lo contuvieron ",,,#coronavirus,1238055253121077248,https://twitter.com/marinamendez/status/1238055253121077248
2020-03-12 10:48:41,JulianK_80,,0,0,1,"Menos mal q tenemos un gobierno de científicos controlando en Ezeiza. #COVID-19 #coronavirus #CoronavirusEnArgentina",,,#COVID #coronavirus #CoronavirusEnArgentina,1238054301060169728,https://twitter.com/JulianK_80/status/1238054301060169728
2020-03-12 10:43:06,dani3lblanco,nbg__,0,0,0,"Ir a la costa argentina o tener Covid-19 es lo mismo ",,,,1238052895314063360,https://twitter.com/dani3lblanco/status/1238052895314063360
2020-03-12 10:41:08,dariomaceiras1,,0,2,2," #Coronavirus: documento filtrado muestra que en Estados Unidos estiman 96 ​​millones de infecciones y 480.000 muertes #COVID19 vía El Disenso ",,,#Coronavirus #COVID19,1238052400751050752,https://twitter.com/dariomaceiras1/status/1238052400751050752
2020-03-12 10:37:18,gmarcecontreras,,0,0,0,"@ginesggarcia Ministro que espera para tomar medidas acordes a la gravedad del Covid-19? Veo que sale gente a Europa de vacaciones (IG) cierre AA2000 a vuelos de Europa-China etc y el que se fue en estos días que se joda por no pensar en el resto por favor !",,@ginesggarcia,,1238051432596717569,https://twitter.com/gmarcecontreras/status/1238051432596717569
